Device: samsung SM-G781B; eSense app version: 5.2.0; android version: 11;
DESCRIPTION
RECORDING NAME;HRV-Recording-09122021-114214;;;;;;
eSense Pulse:;0000542;;;;;;
DATE (HH:MM:SS);09.12.21 11:42:14;;;;;;
TIME (HH:MM:SS);00:14:54;;;;;;
MAXIMUM;91.5 HR;;;;;;
MINIMUM;56.4 HR;;;;;;
DIFFERENCE MIN/MAX;35.1 HR;;;;;;
AVERAGE OF SESSION;73.76 HR;;;;;;
;;;;;;;
SDNN;76.48 ms;;;;;;
RMSSD;15.95 ms;;;;;;
NN50;26;;;;;;
PNN50;1.74 %;;;;;;
STRESS INDEX;76.40;;;;;;
AVERAGE RR;832.70 ms;;;;;;
AVERAGE HR;72.10 HR;;;;;;
CORRECTED HR VALUES;2;;;;;;
CORRECTED HR VALUES IN %;0.13 %;;;;;;
RED HEARTS;2;;;;;;
ORANGE HEARTS;3;;;;;;
YELLOW HEARTS;3;;;;;;
GREEN HEARTS;5;;;;;;
;;;;;;;
STATISTICS;;;;;;;
SECOND;HEARTRATE;RR INTERVAL IN MS;HRV AMPLITUDE;REGULARITY;TIMESTAMP;MARKER;
216.023;107.3;559;19.70;0;11:45:57:000;;
216.579;107.9;556;19.70;0;11:45:57:000;;
217.131;108.7;552;19.70;0;11:45:58:000;;
217.676;110.1;545;19.70;0;11:45:58:000;;
218.231;108.1;555;19.70;0;11:45:59:000;;
218.781;109.1;550;19.70;0;11:45:59:000;;
219.328;109.7;547;19.70;0;11:46:00:000;;
219.873;110.1;545;19.70;0;11:46:00:000;;
220.423;109.1;550;19.70;0;11:46:01:000;;
221.007;102.7;584;19.70;0;11:46:01:000;;
221.592;102.6;585;19.70;0;11:46:02:000;;
222.182;101.7;590;19.70;0;11:46:03:000;;
222.791;98.5;609;19.70;0;11:46:03:000;;
223.386;100.8;595;19.70;0;11:46:04:000;;
223.989;99.5;603;19.70;0;11:46:04:000;;
224.599;98.4;610;19.70;0;11:46:05:000;;
225.212;97.9;613;19.70;0;11:46:06:000;;
225.829;97.2;617;19.70;0;11:46:06:000;;
226.433;99.3;604;19.70;0;11:46:07:000;;
227.028;100.8;595;19.70;0;11:46:07:000;;
227.617;101.9;589;19.70;0;11:46:08:000;;
228.193;104.2;576;19.70;0;11:46:09:000;;
228.783;101.7;590;19.70;0;11:46:09:000;;
229.360;104.0;577;19.70;0;11:46:10:000;;
229.935;104.3;575;19.70;0;11:46:11:000;;
230.518;102.9;583;19.70;0;11:46:11:000;;
231.101;102.9;583;19.70;0;11:46:11:000;;
231.676;104.3;575;19.70;0;11:46:12:000;;
232.261;102.6;585;19.70;0;11:46:13:000;;
232.852;101.5;591;19.70;0;11:46:13:000;;
233.435;102.9;583;19.70;0;11:46:14:000;;
234.031;100.7;596;19.70;0;11:46:15:000;;
234.616;102.6;585;19.70;0;11:46:15:000;;
235.202;102.4;586;19.70;0;11:46:16:000;;
235.787;102.6;585;19.70;0;11:46:16:000;;
236.380;101.2;593;19.70;0;11:46:17:000;;
236.974;101.0;594;19.70;0;11:46:17:000;;
237.562;102.0;588;19.70;0;11:46:18:000;;
238.168;99.0;606;19.70;0;11:46:19:000;;
238.763;100.8;595;19.70;0;11:46:20:000;;
239.335;104.9;572;19.70;0;11:46:20:000;;
239.917;103.1;582;19.70;0;11:46:21:000;;
240.489;104.9;572;19.70;0;11:46:21:000;;
241.051;106.8;562;19.70;0;11:46:22:000;;
241.596;110.1;545;19.70;0;11:46:22:000;;
242.138;110.7;542;19.70;0;11:46:23:000;;
242.685;109.7;547;19.70;0;11:46:23:000;;
243.220;112.1;535;19.70;0;11:46:24:000;;
243.753;112.6;533;19.70;0;11:46:24:000;;
244.283;113.2;530;19.70;0;11:46:25:000;;
244.806;114.7;523;19.70;0;11:46:26:000;;
245.341;112.1;535;19.70;0;11:46:26:000;;
245.871;113.2;530;19.70;0;11:46:27:000;;
246.398;113.9;527;19.70;0;11:46:27:000;;
246.925;113.9;527;19.70;0;11:46:27:000;;
247.465;111.1;540;19.70;0;11:46:28:000;;
248.001;111.9;536;19.70;0;11:46:28:000;;
248.533;112.8;532;19.70;0;11:46:29:000;;
249.080;109.7;547;19.70;0;11:46:29:000;;
249.618;111.5;538;19.70;0;11:46:30:000;;
250.165;109.7;547;19.70;0;11:46:30:000;;
250.726;107.0;561;19.70;0;11:46:31:000;;
251.272;109.9;546;19.70;0;11:46:32:000;;
251.817;110.1;545;19.70;0;11:46:32:000;;
252.371;108.3;554;19.70;0;11:46:33:000;;
252.909;111.5;538;19.70;0;11:46:33:000;;
253.451;110.7;542;19.70;0;11:46:34:000;;
254.001;109.1;550;19.70;0;11:46:34:000;;
254.541;111.1;540;19.70;0;11:46:35:000;;
255.081;111.1;540;19.70;0;11:46:35:000;;
255.631;109.1;550;19.70;0;11:46:36:000;;
256.181;109.1;550;19.70;0;11:46:37:000;;
256.749;105.6;568;19.70;0;11:46:37:000;;
257.329;103.4;580;19.70;0;11:46:38:000;;
257.909;103.4;580;19.70;0;11:46:39:000;;
258.504;100.8;595;19.70;0;11:46:39:000;;
259.103;100.2;599;19.70;0;11:46:40:000;;
259.698;100.8;595;19.70;0;11:46:40:000;;
260.308;98.4;610;19.70;0;11:46:41:000;;
260.918;98.4;610;19.70;0;11:46:41:000;;
261.522;99.3;604;19.70;0;11:46:42:000;;
262.128;99.0;606;19.70;0;11:46:43:000;;
262.726;100.3;598;19.70;0;11:46:43:000;;
263.326;100.0;600;19.70;0;11:46:44:000;;
263.912;102.4;586;19.70;0;11:46:45:000;;
264.506;101.0;594;19.70;0;11:46:45:000;;
265.094;102.0;588;19.70;0;11:46:46:000;;
265.674;103.4;580;19.70;0;11:46:46:000;;
266.243;105.4;569;19.70;0;11:46:47:000;;
266.817;104.5;574;19.70;0;11:46:47:000;;
267.383;106.0;566;19.70;0;11:46:48:000;;
267.938;108.1;555;19.70;0;11:46:49:000;;
268.510;104.9;572;19.70;0;11:46:49:000;;
269.077;105.8;567;19.70;0;11:46:50:000;;
269.648;105.1;571;19.70;0;11:46:50:000;;
270.231;102.9;583;19.70;0;11:46:51:000;;
270.816;102.6;585;19.70;0;11:46:51:000;;
271.410;101.0;594;19.70;0;11:46:52:000;;
272.027;97.2;617;19.70;0;11:46:52:000;;
272.644;97.2;617;19.70;0;11:46:53:000;;
273.266;96.5;622;19.70;0;11:46:54:000;;
273.882;97.4;616;19.70;0;11:46:55:000;;
274.488;99.0;606;19.70;0;11:46:55:000;;
275.097;98.5;609;19.70;0;11:46:56:000;;
275.685;102.0;588;19.70;0;11:46:56:000;;
276.306;96.6;621;19.70;0;11:46:57:000;;
276.904;100.3;598;19.70;0;11:46:57:000;;
277.497;101.2;593;19.70;0;11:46:58:000;;
278.093;100.7;596;19.70;0;11:46:58:000;;
278.679;102.4;586;19.70;0;11:46:59:000;;
279.260;103.3;581;19.70;0;11:47:00:000;;
279.847;102.2;587;19.70;0;11:47:01:000;;
280.433;102.4;586;19.70;0;11:47:01:000;;
281.000;105.8;567;19.70;0;11:47:02:000;;
281.566;106.0;566;19.70;0;11:47:02:000;;
282.121;108.1;555;19.70;0;11:47:03:000;;
282.667;109.9;546;19.70;0;11:47:03:000;;
283.207;111.1;540;19.70;0;11:47:04:000;;
283.748;110.9;541;19.70;0;11:47:04:000;;
284.286;111.5;538;19.70;0;11:47:05:000;;
284.815;113.4;529;19.70;0;11:47:06:000;;
285.347;112.8;532;19.70;0;11:47:06:000;;
285.896;109.3;549;19.70;0;11:47:07:000;;
286.445;109.3;549;19.70;0;11:47:07:000;;
287.003;107.5;558;19.70;0;11:47:08:000;;
287.585;103.1;582;19.70;0;11:47:08:000;;
288.193;98.7;608;19.70;0;11:47:09:000;;
288.800;98.8;607;19.70;0;11:47:09:000;;
289.406;99.0;606;19.70;0;11:47:10:000;;
290.019;97.9;613;19.70;0;11:47:10:000;;
290.634;97.6;615;19.70;0;11:47:12:000;;
291.244;98.4;610;19.70;0;11:47:12:000;;
291.850;99.0;606;19.70;0;11:47:13:000;;
292.453;99.5;603;19.70;0;11:47:13:000;;
293.045;101.4;592;19.70;0;11:47:14:000;;
293.651;99.0;606;19.70;0;11:47:14:000;;
294.223;104.9;572;19.70;0;11:47:15:000;;
294.802;103.6;579;19.70;0;11:47:15:000;;
295.380;103.8;578;19.70;0;11:47:16:000;;
295.947;105.8;567;19.70;0;11:47:16:000;;
296.499;108.7;552;19.70;0;11:47:17:000;;
297.037;111.5;538;19.70;0;11:47:18:000;;
297.582;110.1;545;19.70;0;11:47:18:000;;
298.122;111.1;540;19.70;0;11:47:19:000;;
298.650;113.6;528;19.70;0;11:47:19:000;;
299.195;110.1;545;19.70;0;11:47:20:000;;
299.736;110.9;541;19.70;0;11:47:20:000;;
300.270;112.4;534;19.70;0;11:47:21:000;;
300.821;108.9;551;19.70;0;11:47:21:000;;
301.378;107.7;557;19.70;0;11:47:22:000;;
301.930;108.7;552;19.70;0;11:47:22:000;;
302.484;108.3;554;19.70;0;11:47:23:000;;
303.061;104.0;577;19.70;0;11:47:24:000;;
303.645;102.7;584;19.70;0;11:47:25:000;;
304.232;102.2;587;19.70;0;11:47:25:000;;
304.814;103.1;582;19.70;0;11:47:25:000;;
305.403;101.9;589;19.70;0;11:47:26:000;;
